Syntax,Behavior
"Rd=add(Rs,#s16)",apply_extension(#s);
"",Rd=Rs+#s;
"Rd=add(Rs,Rt)",Rd=Rs+Rt;
"Rd=add(Rs,Rt):sat",Rd=sat_32(Rs+Rt);
Syntax,Behavior
"Rd=and(Rs,#s10)",apply_extension(#s);
"",Rd=Rs&#s;
"Rd=and(Rs,Rt)",Rd=Rs&Rt;
"Rd=and(Rt,~Rs)",Rd = (Rt & ~Rs);
Rd=not(Rs),"Assembler mapped to: ""Rd=sub(#-1,Rs)"""
"Rd=or(Rs,#s10)",apply_extension(#s);
"",Rd=Rs|#s;
"Rd=or(Rs,Rt)",Rd=Rs|Rt;
"Rd=or(Rt,~Rs)",Rd = (Rt | ~Rs);
"Rd=xor(Rs,Rt)",Rd=Rs^Rt;
Rd=neg(Rs),"Assembler mapped to: ""Rd=sub(#0,Rs)"""
Syntax,Behavior
nop,
Syntax,Behavior
"Rd=sub(#s10,Rs)",apply_extension(#s);
"",Rd=#s-Rs;
"Rd=sub(Rt,Rs)",Rd=Rt-Rs;
"Rd=sub(Rt,Rs):sat",Rd=sat_32(Rt - Rs);
"",,
Rd=sxtb(Rs),,Rd = sxt8->32(Rs);
Rd=sxth(Rs),,Rd = sxt16->32(Rs);
Syntax,Behavior
Rd=#s16,apply_extension(#s);
"",Rd=#s;
Rdd=#s8,"if (""#s8<0"") {"
"","Assembler mapped to: ""Rdd=combine(#-1,#s8)"";"
"",} else {
"","Assembler mapped to: ""Rdd=combine(#0,#s8)"";"
"",}
Rx.[HL]=#u16,Rx.h[01]=#u;
Syntax,Behavior
Rd=Rs,Rd=Rs;
Rdd=Rss,Assembler mapped to:
"","""Rdd=combine(Rss.H32,Rss.L32)"""
Syntax,Behavior
"Rd=vaddh(Rs,Rt)[:sat]",for (i=0;i<2;i++) {
"",Rd.h[i]=[sat_16](Rs.h[i]+Rt.h[i]);
"",}
"Rd=vadduh(Rs,Rt):sat",for (i=0;i<2;i++) {
"",Rd.h[i]=usat_16(Rs.uh[i]+Rt.uh[i]);
"",}
Syntax,Behavior
"Rd=vavgh(Rs,Rt)",for (i=0;i<2;i++) {
"",Rd.h[i]=((Rs.h[i]+Rt.h[i])>>1);
"",}
"Rd=vavgh(Rs,Rt):rnd",for (i=0;i<2;i++) {
"",Rd.h[i]=((Rs.h[i]+Rt.h[i]+1)>>1);
"",}
"Rd=vnavgh(Rt,Rs)",for (i=0;i<2;i++) {
"",Rd.h[i]=((Rt.h[i]-Rs.h[i])>>1);
"",}
Syntax,Behavior
"Rd=vsubh(Rt,Rs)[:sat]",for (i=0;i<2;i++) {
"",Rd.h[i]=[sat_16](Rt.h[i]-Rs.h[i]);
"",}
"Rd=vsubuh(Rt,Rs):sat",for (i=0;i<2;i++) {
"",Rd.h[i]=usat_16(Rt.uh[i]-Rs.uh[i]);
"",}
Syntax,Behavior
