"Rd=add(Rs,#s16)","Word32 Q6_R_add_RI(Word32 Rs, Word32 Is16)"
"Rd=add(Rs,Rt)","Word32 Q6_R_add_RR(Word32 Rs, Word32 Rt)"
"Rd=add(Rs,Rt):sat","Word32 Q6_R_add_RR_sat(Word32 Rs, Word32 Rt)"
"Rd=and(Rs,#s10)","Word32 Q6_R_and_RI(Word32 Rs, Word32 Is10)"
"Rd=and(Rs,Rt)","Word32 Q6_R_and_RR(Word32 Rs, Word32 Rt)"
"Rd=and(Rt,~Rs)","Word32 Q6_R_and_RnR(Word32 Rt, Word32 Rs)"
Rd=not(Rs),Word32 Q6_R_not_R(Word32 Rs)
"Rd=or(Rs,#s10)","Word32 Q6_R_or_RI(Word32 Rs, Word32 Is10)"
"Rd=or(Rs,Rt)","Word32 Q6_R_or_RR(Word32 Rs, Word32 Rt)"
"Rd=or(Rt,~Rs)","Word32 Q6_R_or_RnR(Word32 Rt, Word32 Rs)"
"Rd=xor(Rs,Rt)","Word32 Q6_R_xor_RR(Word32 Rs, Word32 Rt)"
Rd=neg(Rs),Word32 Q6_R_neg_R(Word32 Rs)
"Rd=sub(#s10,Rs)","Word32 Q6_R_sub_IR(Word32 Is10, Word32 Rs)"
"Rd=sub(Rt,Rs)","Word32 Q6_R_sub_RR(Word32 Rt, Word32 Rs)"
"Rd=sub(Rt,Rs):sat","Word32 Q6_R_sub_RR_sat(Word32 Rt, Word32 Rs)"
Rd=sxtb(Rs),Word32 Q6_R_sxtb_R(Word32 Rs)
Rd=sxth(Rs),Word32 Q6_R_sxth_R(Word32 Rs)
Rd=#s16,Word32 Q6_R_equals_I(Word32 Is16)
Rdd=#s8,Word64 Q6_P_equals_I(Word32 Is8)
Rx.H=#u16,"Word32 Q6_Rh_equals_I(Word32 Rx, Word32 Iu16)"
Rx.L=#u16,"Word32 Q6_Rl_equals_I(Word32 Rx, Word32 Iu16)"
Rd=Rs,Word32 Q6_R_equals_R(Word32 Rs)
Rdd=Rss,Word64 Q6_P_equals_P(Word64 Rss)
